text,topic_label
"Once upon a time, there was a pig. This pig was different. He had a big, red spot on his face. The other pigs did not have this spot. They did not like the different pig.

One day, a mean pig said, ""You are not like us. Go away!"" The different pig was sad. He wanted to be friends with the other pigs. He tried to play with them, but they ran away.

The different pig was very sad. He saw a big tree. He wanted to slap the tree to let out his feelings. He slapped the tree, but the tree fell down! It hit the mean pig's house. The mean pig was very mad. The different pig had to leave the farm.",2
"Once there was an old man who had almost no hair on his head. He was a very bald old man. He had a lot of strange gear that he wanted to spread far and wide. Every day, he put pieces of the gear into a big bag and set off on his journey. He spread the gear all over the world, until there was gear in every corner of the planet. 

But no matter how far he spread the gear, he always came back to the same place. One day while the old man was standing in a field, a little girl with pigtails walked up to him. She asked him why he spread the gear everywhere.

The old man smiled and said, â€œI spread gear so everyone can have something special. I spread gear because I want everyone to be happy.â€ The little girl was so happy she hugged the old man, and as she hugged him, the gear began to spread around them. That old man and that little girl are still spreading the gear today.",2
"Once upon a time there was a little girl named Mary. She had a pet rabbit called Bobo. Mary loved Bobo very much.

One day Mary took Bobo outside. She saw an old velvet swing hanging from a tree. Mary asked Bobo, ""Can you swing on it?""

Bobo hopped up to the swing and said, ""I can try!"" He hopped onto the swing and hung on tight.

Together, Mary and Bobo had a lot of fun swinging on the old velvet swing. They hung on it for hours, until the sun went down. 

Finally, Mary said, ""We have to go home now."" And the two said goodbye to the old velvet swing and went home together.",2
"Once upon a time, there was a bunny called Benny. He stayed in his home, which was full of soil.

One day, Benny noticed a cat in the garden. He started to make silly noises and he hopped around the soil.

Suddenly, the cat started to meow and Benny knew that meant he should behave. He stopped hopping and he stood very still like a statue.

The cat came to Benny and said, ""Hello Benny! You were being silly!"" Benny was so embarrassed.

He said, ""I'm sorry. I'll try to behave better next time."" The cat said, ""It's okay Benny! Just remember to be a good rabbit and behave."" 

Benny smiled, said thank you and the cat hopped away. From that day onwards, Benny always remembered to be good and behave.",2
"Once upon a time, there was a smart bird. The bird wanted to explore the world, so one day it decided to fly to a distant land. After a long trip, it arrived at the top of a big mountain. The bird had never seen a mountain before and was curious. 

When it got nearer to the mountain, it realized that it was a volcano! At first, the bird was scared, but it decided to be brave and open the volcano. 

Inside the volcano, it found lots of precious gems and stones! However, the bird realized that the volcano was home to animals and it should not take the things that did not belong to it. So, it left the volcano without taking anything. 

The bird learned a valuable lesson that day: being smart is not only about knowing what things to take, but also what things not to take.",2
"Bella was walking down the hallway when she stumbled on the floor. She was feeling bad, so she decided to take the elevator. 

When she stepped inside the elevator, it began to make funny noises. Bella was scared and stepped back, but the doors closed before she could get out. 

The elevator went up and down, but it was taking too long. Bella was getting scared because now it was dark and noisy. She wanted to get out! 

Suddenly, the elevator stopped and the doors opened. Bella quickly stumbled out and ran down the hallway to her parents. She was so glad she was done with the bad elevator.",2
"Once upon a time, there was a little boy named Timmy. Timmy loved to play at the park with his friends. One day, they went to the big slide and Timmy went down it really fast. He yelled ""Whee!"" as he slid down.

After that, they went to the swings and Timmy felt like he was zooming through the air. He loved the feeling of the wind in his hair. Suddenly, Timmy's friend found a penny on the ground. Timmy said, ""Wow, you're so lucky!""

They played until the sun went down and it was time for Timmy to go home. He went to bed feeling happy and lucky to have such great friends. The end.",1
"Once upon a time, there was a generous musician named Tom. He played music for kids in the park. He had a big drum, a small flute, and a shiny guitar. Every day, Tom would go to the park and play songs for the kids to dance and sing along.

One day, Tom met a little girl named Lucy. She was sad because she couldn't count. Tom wanted to help Lucy, so he had an idea. He said, ""Lucy, I can teach you how to count with my music!""

Tom played a song on his guitar. He sang, ""One, two, three, four, five,"" and Lucy listened carefully. Soon, Lucy started to count along with Tom's song. She smiled and clapped her hands.

After a while, Lucy could count all the way to ten! She was so happy, and she thanked Tom for helping her. From that day on, Lucy and Tom became good friends. They spent many days in the park, counting and playing music together.",2
"The hook was organized on the wall. It had lots of different things hanging from it. Grandpa showed Tommy all of the things, and told him to take care of them.

Tommy was excited to try the hook. He took an old baseball and passed it around. Everyone laughed as they watched Tommy play and pass the ball.

Grandpa then showed Tommy a hat to give to Grandma. Tommy passed the hat to Grandma and she smiled. Grandma thanked Tommy for being so organized.

Tommy nodded and felt proud. He was happy that he knew how to use the hook and make people happy.",2
"Lily and Ben are twins. They like to play in their house. They have many toys and books. But they also like to explore new places.

One day, they find a door in the hall. The door is green. It has a lock and a key. Lily and Ben are curious. They want to see what is behind the door.

""Let's open it!"" Lily says. She takes the key from the hook. She puts it in the lock. She turns it. The door opens.

""Wow!"" Ben says. He sees a stair. The stair goes up and up. It is dark and dusty. He wants to go up the stair.

""Come on, Lily!"" Ben says. He urges Lily to follow him. He starts to climb the stair.

""Wait, Ben!"" Lily says. She is scared. She does not want to go up the stair. She thinks it is dangerous. She wants to stay in the hall.

""No, Lily!"" Ben says. He is excited. He does not think it is dangerous. He thinks it is fun. He wants to see what is at the top of the stair.

""Please, Lily!"" Ben says. He urges Lily again. He is almost at the top of the stair.

""Okay, Ben!"" Lily says. She loves Ben. She does not want to make him sad. She decides to follow him. She climbs the stair.

They reach the top of the stair. They see a window. The window is big and bright. They look out of the window. They see the sky and the trees and the birds. They smile.

They hear a voice. The voice is loud and angry. It is their mom.

""Lily! Ben! What are you doing up there? Come down right now!""

Lily and Ben are scared. They run down the stair. They close the door. They put the key back on the hook. They hug each other.

They are sorry. They know they did something wrong. They promise to never open the green door again.",3
"One day, a train was going down the track. The train had a big engine that made loud noises. The engine was red and shiny. The train was going very slow because it had a lot of heavy things on it. 

The conductor of the train saw a little boy on the side of the track. He waved to the boy and said, ""hello!"" The boy waved back and said, ""hi!"" The conductor smiled and continued down the track. 

As the train went by, the little boy watched the engine and thought it was so cool. He liked how it was big and shiny. He also thought it was funny how the train was going so slow. The little boy waved goodbye to the train and went back to playing with his toys.",2
"Once upon a time, there was a little boy named Timmy. Timmy liked to play outside with his friends. One day, they decided to build a fort in the woods. They used a saw to cut some branches and made a big pile. 

While they were building the fort, Timmy saw a squirrel running up a tree. He got nervous because he thought it might be a scary animal. But then the squirrel stopped and looked at Timmy. 

Suddenly, the wind started to blow and it got really cold. Timmy's friends told him to freeze and be quiet. They saw a big deer walking by and didn't want to scare it away. Timmy was so amazed by the deer that he forgot to be nervous. They all watched as the deer walked away into the woods. Timmy and his friends had a great adventure that day! The end.",1
"There was once a popular acorn named Wally. He always liked to store things away in the forest. Wally was a very ambitious acorn. Every day he dreamed of finding something bigger and better to store away. Little did he know that this ambition would lead him to his downfall.

One day as he was storing away some twigs and leaves in a hollow tree, he heard a rustling in the bushes. Looking around for the source of the rustling, he saw a hungry fox. The fox eyed him hungrily and started to move towards him. 

""Uh oh,"" said Wally, quickly grabbing a few nuts to distract the fox. The fox diverted his attention and eagerly chased after the nuts. Just before the fox ran off Wally called out, ""Be careful, friend!"" 

Wally continued to store things away in the forest, but he was now more wary of who else he shared the woods with. Little did he know that his kind words would save his life in the future. 

One day, a drought hit the forest and left Wally with no food and water. He was beginning to weaken when one day, the same fox who he had given the nuts to, came to his aid. The fox had remembered Wally's kindness and came with an acorn- the same type of acorn that Wally was!

The fox ran away after giving the acorn to Wally and he was ever so thankful- not only",2
"Once upon a time there was a prince who lived in a castle. Every day, the prince was very calm.

One day, the prince looked out of his window, and he saw something very special in the sky. It was a shining star! The prince was very excited. He wanted to see the star up close. 

So the prince asked his servants for help. They helped him to get a ladder and climb up a very tall hill. When the prince got to the top of the hill, he was amazed.

The star was so bright and beautiful. Its light shone so bright that the prince could feel it on his face. The prince felt very happy and peaceful.

He stayed and watched the star twinkle until it was time to go back home. He promised himself that he would come back to see the star again soon.

Since that day, the prince has visited the star every day to see its peaceful light shine.",2
"Lily and Tom are friends. They like to play in the park. One day, they meet a big dog. The dog is fierce. It barks and growls at them. Lily and Tom are scared.

They run to the exit. But the dog runs after them. It is faster than them. It catches up with them. It jumps on Tom and bites his leg. Tom cries out loud.

Lily sees a stick. She picks it up. She hits the dog with the stick. The dog lets go of Tom. It yelps and runs away. Lily helps Tom get up. They hug each other.

They see a lady. She is the dog's owner. She is sorry. She says the dog is not bad. It is just scared of new people. She gives Tom a band-aid for his leg. She says sorry again.

Lily and Tom forgive her. They say goodbye to her and the dog. They go home. They are brave. They are still friends.",2
"Once upon a time, there was a stretchy cat. He was the stretchiest cat in the world! He was always stretching himself, from his big toes all the up to his ears. One day, the stretchy cat came across a wet spot on the ground. His friends warned him not to go near it because it might be dangerous, but the stretchy cat wasn't scared! He decided to stretch as far as he could and touch the wet spot.

When the stretchy cat finally touched the wet spot, something magical happened! The wet spot changed into a big, tasty cake! He was so excited, he couldn't believe his eyes! The stretchy cat immediately started eating the cake and it was the most delicious treat he had ever tasted.

The stretchy cat enjoyed his tasty treat and was so thankful that he had decided to stretch and take a chance. He knew that he would always love stretching and he hoped his friends would learn to take chances too. The end!",2
"One day, a large worm was in the garden. It saw a big shoe. The worm did not want to get stepped on. So, the worm said, ""Please do not step on me!""

A little boy heard the worm. He looked down and saw the worm. The boy said, ""I will not step on you, worm. But you must help me find my toy.""

The worm and the boy looked for the toy. They looked under rocks and in the grass. They could not find the toy. The boy got mad. He said, ""You did not help me find my toy. Now, I will step on you!""

The worm was sad. It tried to run away. But the boy stepped on the worm. The worm was gone. The boy did not find his toy. No one was happy.",2
"Ben likes to do many things. He likes to play with his cars, to draw with his crayons, and to read his books. But his favorite thing to do is to pretend he is a superhero. He has a red bathrobe that he wears as a cape. He thinks it makes him powerful and fast.

One day, he was playing in his room with his bathrobe. He jumped on his bed and shouted, ""I am Super Ben! I can fly and save the world!"" He flew to his window and looked outside. He saw a cat stuck on a tree. He said, ""Oh no! A cat needs my help! I will rescue it!""

He ran downstairs and opened the door. He saw his mom in the kitchen. He said, ""Mom, I have to go and save a cat! I am Super Ben!"" His mom smiled and said, ""OK, Super Ben, but be careful and don't go too far. And put on your shoes, it's cold outside.""

Ben put on his shoes and ran to the tree. He saw the cat meowing and looking scared. He said, ""Don't worry, cat, I am here to help you. I am Super Ben!"" He tried to climb the tree, but it was too high and slippery. He said, ""Oh no! How can I reach the cat?""

He looked around and saw a ladder leaning on a fence. He said, ""Aha! I can use the ladder!"" He dragged the ladder to the tree and set it up. He climbed the ladder and reached the cat. He said, ""There you go, cat, you are safe now. Come with me."" He picked up the cat and put it in his bathrobe. He climbed down the ladder and hugged the cat. He said, ""You are a good cat. Do you want to be my friend?""

The cat purred and licked his face. He said, ""I think you do. Let's go home and play."" He ran back to his house with the cat in his bathrobe. He saw his mom waiting for him. He said, ""Mom, look, I saved a cat! Can I keep it?"" His mom looked at the cat and said, ""Wow, Super Ben, you are very brave and kind. You can keep the cat, but you have to take good care of it. What will you name it?"" Ben thought for a moment and said, ""I will name it Power. Because it is powerful, like me."" His mom smiled and said, ""That's a great name. Come on, let's go inside and give Power some food and water. And you, Super Ben, you need a bath. You are very dirty from your adventure."" Ben said, ""OK, Mom, but can I wear my bathrobe after the bath? I still want to be Super Ben."" His mom said, ""Of course, you can. You are always Super Ben to me.""",3
"Once upon a time there was a frightened bird. He was very scared because there was a missile near his nest. He didn't know what to do.

Then, a little mouse came hopping by. He asked the bird why he was so sad.

The bird said, ""I'm fearful of the missile near my nest. I'm afraid it will hurt me!""

The little mouse said, ""Don't worry my friend. I'll help you!""

The mouse hopped up to the missile, gave it a big kiss, then quickly hopped away. 

The bird was amazed. He saw that the missile was no longer there. The mouse had made it disappear.

The bird was so happy that he flew down and gave the mouse a big hug and a kiss.

From then on, the bird and the mouse were the best of friends. They helped each other whenever they were in need.",2
"Tom and Sam are brothers. They like to play with their toy boat. They have a big tub of water in the yard. They put the boat in the water and make it sail. They pretend they are pirates and look for treasure.

One day, they hear a loud noise. It is a real boat on the river. The boat is big and has a big sail. It has a flag with a skull and bones. Tom and Sam are scared. They think it is a pirate boat.

They run to their mom and tell her what they see. Mom smiles and says, ""Don't worry, boys. That is not a pirate boat. That is a boat from a museum. It is very old and very wise. It knows a lot of stories about the sea. It is here to teach people about history.""

Tom and Sam are curious. They want to learn more about the boat. Mom says, ""Maybe we can go and see it tomorrow. We can ask the people on the boat to tell us some stories. Would you like that?""

Tom and Sam nod and say, ""Yes, please!"" They are happy and excited. They go back to their tub and make their toy boat sail. They pretend they are sailors and look for adventure.",2
"Once upon a time there was a soldier, who was brave and strong. One day, the soldier was walking in the park, when he saw a happy, clear fish swimming in the pond. He watched it spinning around in circles, and thought it was the most beautiful sight!

The soldier went back to the pond the next day, but the fish had gone. He looked high and low, but he could not find it. He was so sad, he almost wanted to cry!

But suddenly he heard a voice. It was the voice of the clear fish, saying, ""Don't worry, soldier. Just look up at the sky. I will be spinning up there in the clouds!""

The soldier looked up and sure enough, in the clear sky he could see the fish spinning in circles! From then on the soldier was never alone, wherever he went he could look up and see the fish spinning and smiling at him.",2
"Once upon a time, there was a car. The car had an engine that was very powerful. All around the car, everyone was alert. The car was going forward but then it started to reverse. The driver used the engine to make the car go back. The car went back and back until it was far away. Everyone watching the car was so surprised! The car had reversed for quite a long way. In the end, the car stopped reversing and went forward again. Everyone cheered because the car had used the engine to reverse!",3
"Once upon a time, there was a little duck named Ducky. Ducky loved to swim in the pond. The pond was big and blue and had fish in it. Ducky liked to swim and play with the fish.

One day, Ducky saw a big, black cloud in the sky. She knew it might rain soon. She wanted to taste the raindrops, so she stayed in the pond. When the rain started to fall, Ducky opened her beak and tasted the raindrops.

But then, the rain got heavier and heavier. The pond started to get bigger and bigger. Ducky realized that she needed to get out of the pond before it flooded. She flapped her wings and flew away, just in time. From that day on, Ducky knew to be careful when it rained.",2
"Once upon a time, there was a bird named Breezy. Breezy loved to fly high in the sky and feel the wind on her feathers. She would soar over the trees and the houses, feeling free and happy.

One day, Breezy saw a big volcano. It was very tall and had smoke coming out of it. Breezy knew she shouldn't fly too close to the volcano because it was dangerous. She decided to stay away and fly in a different direction.

As Breezy was flying away, she saw some trash on the ground. There were cans and papers all over the place. Breezy knew that this was not good for the environment. She wanted to help keep the world clean, so she started picking up the trash with her beak and putting it in a nearby bin.

Breezy learned that it's important to stay away from danger and to keep the world clean. She felt proud of herself for doing a good deed and continued to soar in the sky, feeling happy and free.",2
"Once there was a family who lived in a farm near the mountains. They had lots of animals and grew corn.

One day, mama called the family outside to look at the corn. It was tall, thick and golden. Papa smiled, proud of his work.

Daddy said: ""We will give the animals some of this corn to raise. Let's start with the chickens.""

Then, mama and papa gave the chickens some corn. They ate it up and said cluck, cluck! They were so happy, now they could raise and be strong.

Mama said: ""Look, they love the thick corn."" 

The family watched the chickens eat their corn and then papa said: ""It's time to pick more corn."" 

Mama and papa went inside to get their buckets and bags for picking.

The family cheerfully continued to raise the corn in their farm, every day.",2
"Tom was sad. He wanted to play with his new car, but his mom said no. She said he had to wear his new shirt first. Tom did not like his new shirt. It had red and blue strips on it. He thought it was stupid.

He put on his new shirt, but he did not button it. He ran to his room and grabbed his new car. He wanted to zoom it on the floor. But his mom saw him and stopped him. She said he had to button his shirt first. She said it was cold outside and he would get sick.

Tom sighed. He did not want to button his shirt. He thought it was hard and boring. He wanted to play with his new car. He tried to button his shirt, but he could not. He got angry and pulled his shirt off. He threw it on the floor and yelled, ""I hate this shirt!""

His mom was not happy. She picked up his shirt and said, ""Tom, that is not nice. You have to wear your shirt. It is a gift from your grandma. She made it for you. She loves you very much.""

Tom felt bad. He did not want to make his mom or his grandma sad. He said, ""I'm sorry, mom. I love you and grandma too. But I don't like this shirt. Can I wear a different shirt?""

His mom smiled. She said, ""OK, Tom. You can wear a different shirt. But you have to say thank you to grandma for this shirt. And you have to be careful with your new car. It is also a gift from her.""

Tom nodded. He said, ""Thank you, grandma, for this shirt and this car. I will be careful with them."" He hugged his mom and put on a different shirt. He buttoned it by himself. He was proud. He ran to his room and played with his new car. He was happy.",2
"One day, a group of 3 year old kids were searching for a new toy. They looked for hours but couldn't decide which toy to get. Suddenly, the kids noticed the staff at the store had lots of games and cute cuddly creatures. They decided to get one of the cuddly creatures.

The kids looked around to find the cleanest and tidiest one. They noticed a big, fluffy bear that was spotlessly clean and very tidy. They decided to take the big, fluffy bear home with them.

Back at home, the kids were very excited to show their new toy to their parents. When their parents saw the big, fluffy bear, they were very happy with how clean and tidy it was.

The kids were delighted that the staff had helped them decide on the perfect toy. They hugged their big, fluffy bear tightly and promised to always keep it clean and tidy.",2
"Sara and Ben are twins. They like to play together, but sometimes they tease each other. One day, they are having lunch with Mom. Mom gives them soup and celery. Sara likes celery, but Ben does not.

""Yuck, I don't want celery. It is green and hard and tastes like grass,"" Ben says. He pushes his plate away.

Sara smiles and picks up a piece of celery. She crunches it loudly and says, ""Celery is yummy and good for you. You are silly, Ben. You don't know what you are missing.""

Ben frowns and says, ""No, you are silly, Sara. You are eating rabbit food. You will grow long ears and hop around.""

Sara laughs and says, ""No, I won't. You are just jealous because I like celery and you don't.""

She waves the celery in front of Ben's face and says, ""Do you want some? Do you want some?""

Ben gets angry and tries to grab the celery from Sara. They start to fight and spill their soup on the table. Mom hears the noise and comes to see what is wrong.

""Stop it, both of you. You are making a mess. Why are you teasing each other?"" Mom says.

Sara and Ben look at Mom and feel sorry. They say, ""We are sorry, Mom. We were just playing.""

Mom says, ""Playing is fine, but teasing is not nice. You should share and be kind to each other. Now, help me clean up this mess and finish your lunch. And Ben, try to eat some celery. It is good for you.""

Sara and Ben nod and say, ""OK, Mom. We will.""

They help Mom tidy the table and eat their lunch. They decide not to tease each other anymore. They hug and say, ""We love you, Mom. We love you, Sara. We love you, Ben.""",3
"Once upon a time, there was a bald man who lived in the city. He loved to walk around and look at all the buildings. One day, he saw a shiny red ball and wanted to grab it. But a big dog saw the ball too and ran to grab it first. The bald man and the dog both wanted the ball and started to fight over it. The man was very sad because he really wanted the ball. Suddenly, a kind little girl came and said, ""Don't fight, you can share the ball!"" The man and the dog were happy and played with the ball together. From that day on, they became friends and walked around the city together, looking at all the buildings. The end.",2
"Once upon a time, there was a little girl named Lily. She loved cookies and always asked her mom for one after dinner. One day, her mom gave her a big cookie, but Lily was too excited and dropped it on the ground. She was upset and cried.

Her mom said, ""Don't be upset, Lily. We can balance the cookie on your nose.""

Lily was confused but let her mom balance the cookie on her nose. She was so proud and happy that she forgot about being upset. But then, her dog ran up to her and barked loudly, making her jump. The cookie fell off her nose and into the dog's mouth.

Lily was upset again, but her mom said, ""Don't worry, Lily. We can bake more cookies tomorrow."" And Lily smiled, knowing that she would get another cookie soon.",0
"Once upon a time there were two friends. They were both cats and they had so much fun together. 

The cats liked to play in the park, climb trees, and explore the forests. One day, they were walking in the forest and they found something very special. It was a big, shiny paw. 

The cats knew this paw was very unique and wanted to keep it for themselves. They began to quarrel about who would keep the paw. As they argued, they scratched each other with their claws and chased each other around. 

After a while, they stopped arguing. Suddenly, they came up with a unique idea. They decided to keep the paw together. 

So they kept the paw and became best friends forever. They promised to never quarrel over it again.",2
"One day, Bob was walking through a peaceful landscape. He smiled as the birds flew in the sky above. He could see a tree off in the distance and decided to go for a closer look.

When Bob reached the tree he heard a sound. It was a whistle! He looked around but couldn't see anyone. He started to whistle back, and then he saw a squirrel on the ground.

The squirrel said hello to Bob. Bob asked if he could join him and the squirrel said yes. Together they played hide and seek and lots of other games. Bob felt so happy in this peaceful landscape, and he knew he was going to come back to play with his new friend soon.",2
"Ben and Mia like to collect rocks. They have a big box of rocks in their room. Some rocks are shiny, some are smooth, some are colorful. They like to look at their rocks and make shapes with them.

One day, they go to the park with their mom. They see a lot of rocks on the ground. They run to pick them up. ""Look, Mia, this one is sparkly!"" Ben says. He shows Mia a rock that has glitter on it. ""Wow, Ben, that's pretty!"" Mia says. She sees a rock that has stripes on it. ""Look, Ben, this one is original!"" She says. She shows Ben a rock that has different colors on it.

They put their rocks in their pockets. They want to take them home and add them to their box. They keep looking for more rocks. They do not see a big rock in their way. They trip over it and fall down. They scrape their knees and elbows. They feel pain. They cry.

Their mom hears them and runs to them. She hugs them and kisses them. She says, ""Oh, no, my sweeties, are you okay?"" She looks at their wounds and says, ""You have some boo-boos. Let's go home and clean them up. You are very brave.""

Ben and Mia nod. They still feel pain, but they feel better with their mom. They remember their rocks. They take them out of their pockets and show them to their mom. They say, ""Look, mom, we collect rocks. They are shiny and smooth and colorful and original."" Their mom smiles and says, ""They are very nice rocks. You are very smart and creative. I'm proud of you."" She takes their rocks and puts them in her bag. She says, ""Let's go home and put them in your box. Then we can have some ice cream. How does that sound?"" Ben and Mia smile and say, ""Yes, please!"" They hold their mom's hand and walk home. They are happy.",3
"Lily likes to count. She counts her fingers, her toes, her dolls, and her books. She counts everything she sees. One day, she wants to count the caps on the bottles in the kitchen. She climbs on a chair and reaches for the shelf. But she slips and falls. She hits her head on the floor. It hurts a lot. She cries.

Mom hears Lily cry and runs to the kitchen. She sees Lily on the floor with a bump on her head. She hugs Lily and says, ""Oh, no, my sweetie, are you okay?"" She picks up Lily and takes her to the sofa. She puts some ice on Lily's bump and kisses it. She says, ""It will be better soon, don't worry.""

Lily stops crying and snuggles with Mom. She says, ""I'm sorry, Mom, I wanted to count the caps."" Mom says, ""I know, honey, you love to count. But you have to be careful. The shelf is too high for you. You could get hurt. Next time, ask me for help, okay?"" Lily nods and says, ""Okay, Mom, I will."" Mom says, ""I love you, Lily, you are very smart and brave."" Lily says, ""I love you, Mom, you are very kind and gentle."" They hug and smile. Lily feels better. She counts the ice cubes on her bump. She says, ""One, two, three, four, five. Five ice cubes."" Mom says, ""That's right, Lily, you are very good at counting."" They laugh and cuddle. Lily is happy.",0
"One day there was a little mouse who had been looking for something new to explore. As he made his way through the forest, the mouse heard something strange. He stopped and listened closely. He heard a noise that almost sounded like singing. He wanted to find out what it was and see if he could join in. 

The mouse followed the sound until he saw a gloomy trap. He was curious, so he went up to it and peered inside. There was a bird with beautiful yellow feathers singing inside the trap. The mouse felt sorry for the bird and wanted to help it get out. 

The mouse looked around for something that he could use to break open the trap. He found a large rock and he carefully placed it near the trap. With one big push, he was able to break open the trap and the bird flew away happily. 
 
The mouse watched the bird fly away and was glad that he could help. He had a feeling that he had just made this gloomy forest a little brighter.",2
"Once upon a time, there was a princess who was very proud. She liked to wear a beautiful dress every day. But one day, something strange happened.

The princess was playing outside when she saw a missile coming from the sky. She was scared and ran back inside her castle. 

When she entered the castle, she saw the King and said: ""Daddy, there was a missile outside the castle"". 

The King looked proud. ""Don't worry, princess,"" he said, ""That was not a real missile. That was a fireworks missile, and it was very special.""

""Special?"" asked the princess. 

""Yes, special,"" said the King. ""It was to celebrate something important. A very special mission was completed, and that was why the missile was launched.""

The Princess smiled. She was happy to know that the missile was nothing to worry about. From that day on, the princess always smiled proudly whenever she wore her beautiful dress.",2
